"","gameId","time","week","playId","frameId","event","playDirection","nflIdRet","playerNameRet","posRet","teamRet","xRet","yRet","sRet","aRet","disRet","oRet","dirRet","xLineOfScrimmage","xDepth","quarter","yardsToGo","gameClock","kickLength","playResult","hangTime","pointDiff","kickReturnYardage","operationTime","endYardLine","specialTeamsResult","numGunners","numVises","numRushers","NewPosition","ballApexX","ballApexY","beginPuntFrame","endPuntFrame","apexTime","vxy","vz","v_0","launch_angle","z","ballFinalX","ballFinalY","puntTime","distanceFromBallFinal","distanceFromBallApex","distanceBallToGo","dirChange","timeLeft","muffed_punt","sep_opp_1","s_opp_1","a_opp_1","o_opp_1","dir_opp_1","sep_team_1","s_team_1","a_team_1","o_team_1","dir_team_1","sep_opp_2","s_opp_2","a_opp_2","o_opp_2","dir_opp_2","sep_opp_3","s_opp_3","a_opp_3","o_opp_3","dir_opp_3","sep_team_2","s_team_2","a_team_2","o_team_2","dir_team_2","sep_team_3","s_team_3","a_team_3","o_team_3","dir_team_3","Temperature","Humidity","Precipitation","WindSpeed","Pressure","voronoi_area","timeRemaining","fumble","last_x_frame"
"1",2018090600,1,1,872,54,"None","right",42450,"Justin Hardy","WR","ATL",92.02,28.21,5.42,1.25,0.54,132.19,7.79,45,47.02,1,18,00:33:00,65,45,4.35,3,NA,2,80,"Touchback",2,3,1,"WR",72.64,32,32,77,2.2,14.2823287169931,24.13125,28.0410795110093,59.410513516889,27.13425,97.17,39.47,4.5,12.381845581334,19.7471137131481,25.6421878941716,1.14182942212133,2.3,0,29.0906668881963,9.33,1.16,112.59,105.32,30.8085475152595,8.75,1.19,102.92,105.35,33.8351961720336,8.34,2.28,90.84,85.09,36.3308697941571,8,1.81,104.36,106.72,32.0286184528774,6.98,2.59,98.48,103.65,38.3803335055859,6.72,0.8,148.72,88.89,78.08,79,0.012,9.2,30.1294,678.569778,2733,0,114.02
"2",2018090600,1,1,366,55,"None","right",42450,"Justin Hardy","WR","ATL",67.92,29.61,6.18,0.7,0.62,148.26,17.94,18,49.92,1,4,09:20:00,56,36,4.46,0,5,2.12,44,"Return",2,4,0,"WR",46.59,36.85,33,78,2.2,14.5611153079819,24.13125,28.1840966783547,58.922534718106,27.13425,72.61,39.18,4.5,10.6574387166899,22.5252413971527,26.1241133820844,1.11512169194388,2.3,0,35.9180456038465,8.32,1.06,61.87,92.55,35.8012360121826,8.06,2.14,131.92,94.73,36.5657777163292,8.89,1.22,87.69,82.87,37.1833524577868,8.29,2.8,97.58,90.04,37.9973801728488,9.12,1.02,114.84,80.8,39.3038687663187,7.98,0.89,121.74,91.44,78.08,79,0.012,9.2,30.1294,830.194642,3260,0,69.27
"3",2018090600,1,1,973,59,"None","right",29957,"Darren Sproles","RB","PHI",70.95,44.79,5.82,2.3,0.59,126.43,173.23,21,49.95,2,19,14:18:00,49,49,4.98,-3,NA,2.19,60,"Fair Catch",2,2,4,"RB",48.29,45.77,34,83,2.5,12.4935783588309,26.27625,29.095202598895,64.6030478472785,32.175,68.9,48.79,4.9,4.49471912359382,22.681181627067,20.830086413647,-1.09719879740129,2.4,0,17.4301864591289,9.48,2.18,104.56,84.33,17.5541134780427,9.46,2.56,37.58,79.4,29.1466396004754,10.39,1.25,61.64,50.13,42.4608490258968,8.1,0.19,87.85,76.5,29.0793345866098,10.33,1.46,39.15,53.46,45.7022997233181,7.03,0.87,84.12,80.21,78.08,79,0.012,9.2,30.1294,448.346752,2658,0,69.57
"4",2018090600,2,1,1850,54,"None","left",42450,"Justin Hardy","WR","ATL",90.25,16.0133333333333,4.89,0.36,0.49,2.63,41.95,41,49.25,2,8,01:30:00,58,58,4.53,3,NA,2,89,"Downed",2,2,2,"WR",70.81,17.5733333333333,32,76,2.2,15.0149665348053,23.595,27.9673603516907,57.5580450256151,25.9545,98.33,10.2133333333333,4.4,9.94617514424515,19.5024921484409,28.4871901036238,-0.622587022632284,2.2,0,21.1270111468707,10.55,1.32,4.54000000000002,3.95999999999998,23.1905519554839,9.52,1.88,173.6,177.77,35.546693235799,8.24,3.84,35.28,26.94,40.3301834858211,8.72,1.45,8.63,2.69999999999999,33.5321487530996,8.03,1.47,52.7,50.55,42.3512786111588,5.54,3.58,61.69,17.27,78.98,74,0,5.84,30.1353,374.694126,1890,0,101.94
"5",2018090600,2,1,2406,56,"None","left",42450,"Justin Hardy","WR","ATL",96.71,25.9333333333333,4.46,1.68,0.45,3.68000000000001,27.79,52,44.71,3,9,12:33:00,38,38,4.69,3,NA,2.04,80,"Fair Catch",2,2,2,"WR",75.73,27.0333333333333,32,79,2.4,10.1601581652532,25.20375,27.1745805488412,68.0791198940395,29.601,90.53,29.5733333333333,4.7,7.17230785730786,21.0088171965963,15.0163777256701,-0.532289598090639,2.3,0,20.8285981285347,9.62,2.78,39.87,35.5,27.541374330269,6.3,4.13,176.78,23.1,22.2969616764258,9.69,3.5,139.16,139.71,33.5815425494422,8.81,0.43,176.69,172.43,39.6399924318863,6.77,2.97,136.03,163.03,41.0262562269579,1.29,1.04,91.09,72.25,78.98,74,0,5.84,30.1353,411.135751,1653,0,89.73
"6",2018090600,2,1,1989,57,"None","right",29957,"Darren Sproles","RB","PHI",89.32,35.28,4.47,1.78,0.45,110.3,22.03,36,53.32,2,8,00:44:00,57,61,4.62,-3,8,2.12,87,"Return",2,3,0,"RB",65.62,32.51,34,80,2.3,14.4178056268153,24.6675,28.5719910986726,59.7245946328465,28.367625,91.77,35.94,4.6,2.53734112803147,23.861326450975,26.3739909759596,0.263141101703292,2.3,0,26.9934658760227,7.58,2.26,96.16,83.58,26.5418782304493,6.5,4.71,104.61,98.34,36.1917241921409,9.19,1.93,74.98,65.27,38.3820166223715,8.85,0.83,82.79,73.51,35.3109402310389,9.46,1.65,32.43,51.02,36.1986629587337,9.08,2.64,69.4,66.15,78.98,74,0,5.84,30.1353,501.644663,1844,0,86.19
"7",2018090600,3,1,3736,54,"None","right",42450,"Justin Hardy","WR","ATL",77.66,31.21,6.02,0.54,0.6,132.91,179.84,31,46.66,4,14,07:42:00,46,46,4.2,2,NA,2.03,67,"Out of Bounds",2,4,0,"WR",56.35,34.49,33,75,2.1,12.8766223687782,22.5225,25.9436005573266,60.2729761886789,23.648625,71.87,46.2,4.2,16.0693559298436,21.5609484949062,19.4420806499716,-1.20219277363988,2.1,0,30.6680827571598,8.62,0.98,96.55,78.68,31.1779665789801,8.15,0.43,81.88,83.31,34.7926802646764,8.24,2.27,70.17,76.35,34.9381238763618,7.45,1.24,60.53,73.42,35.1382242010037,7.84,1.16,98.89,90.46,36.0978074126393,8.84,1.67,101.82,76.51,78.98,69,0,5.84,30.1324,745.492947,462,0,78.15
"8",2018090600,3,1,3225,54,"None","right",29957,"Darren Sproles","RB","PHI",89.67,34.96,6.45,1.7,0.64,137.5,7.64,40,49.67,3,6,00:34:00,38,38,4.08,4,NA,2.12,68,"Muffed",3,2,1,"RB",62.52,37.36,34,73,2,13.0939547207905,20.91375,24.6746142683652,57.9789941836141,20.3775,78.49,43.53,3.9,14.0867774881269,27.2558709271966,17.1204497604473,-0.654007608454238,1.9,1,24.6344575747062,9.52,1.75,149.99,94.7,24.3737933034643,9.52,1.3,72.16,93.81,35.4126898159403,9.66,1.09,65.47,60.63,38.4076268467605,8.87,2.05,83.42,75.2,34.74811074001,9.36,0.76,47.34,55.9,36.1486043990636,9.12,1.68,71.78,62.11,78.98,69,0,5.84,30.1324,675.711556,934,1,77.84
"9",2018090600,3,1,2599,55,"None","right",29957,"Darren Sproles","RB","PHI",85.59,33.82,3.77,2.66,0.38,114.7,23.64,36,49.59,3,16,10:22:00,46,37,4.16,-3,9,2.35,63,"Return",2,3,1,"RB",62.34,31.07,34,77,2.1,13.3296645394162,23.05875,26.6342994707176,59.9993255179764,24.77475,82.02,42.04,4.3,8.96176879862452,23.4120695368863,22.5309409479498,-1.16106941335427,2.2,0,27.3418982515845,8.06,2.15,123.06,90.4,26.4778020235819,8.06,2.77,178.02,88.69,31.04565831159,10.1,1.26,78,65.18,38.3504706620401,8.07,0.55,78.35,69.85,30.954303416488,10.2,1.92,46.49,63.64,32.0346765240419,9.29,1.65,44.1,61.18,78.98,69,0,5.84,30.1324,547.142671,1522,0,72.69
"10",2018090600,3,1,3026,58,"None","right",29957,"Darren Sproles","RB","PHI",96.33,37.49,5.1,2.27,0.52,127.98,173.31,50,46.33,3,10,02:44:00,44,44,4.66,4,NA,2.1,84,"Downed",2,2,8,"RB",68.83,36.95,34,81,2.4,10.2136455738218,25.20375,27.1946239166889,67.9745482558392,29.601,85.08,41.61,4.7,11.9806886279546,27.5053013072026,16.9049726412083,-0.351052964965561,2.3,0,19.1407941319058,8.89,2.15,124.45,100.12,18.3346257120237,8.53,1.84,79.47,103.42,24.0877915135448,9.67,1.21,65.87,51.84,40.3251435211333,8.01,0.55,84.78,70.51,23.8506456935656,9.74,1.53,34.96,51.94,44.710001118318,7.1,0.41,92.33,74.4,78.98,69,0,5.84,30.1324,500.511873,1064,0,93.73
